Percentage served,Time in ms
0,7.505
1,14.009
2,16.010
3,16.510
4,18.012
5,19.013
6,20.014
7,21.513
8,22.513
9,23.515
10,24.514
11,25.017
12,25.518
13,26.018
14,27.018
15,27.519
16,28.019
17,29.018
18,29.519
19,30.020
20,30.522
21,31.022
22,32.021
23,32.522
24,33.022
25,34.022
26,34.522
27,35.023
28,35.523
29,36.524
30,37.525
31,38.525
32,39.025
33,39.526
34,40.026
35,41.026
36,41.527
37,42.028
38,43.029
39,44.029
40,44.529
41,45.522
42,46.031
43,46.532
44,47.531
45,48.532
46,48.709
47,49.534
48,50.533
49,51.033
50,51.035
51,52.035
52,52.535
53,53.536
54,54.536
55,56.037
56,57.537
57,58.039
58,59.040
59,60.041
60,62.041
61,63.541
62,65.044
63,66.754
64,68.783
65,70.047
66,71.547
67,74.049
68,77.051
69,81.054
70,83.056
71,86.558
72,88.559
73,92.561
74,96.064
75,98.567
76,102.568
77,106.072
78,109.573
79,112.574
80,117.078
81,123.083
82,134.590
83,141.093
84,146.097
85,153.596
86,165.611
87,181.120
88,194.629
89,205.636
90,236.657
91,265.423
92,304.702
93,332.605
94,373.225
95,472.166
96,504.352
97,608.070
98,700.482
99,778.593
100,13182.372
